Frequency (Hz),Channel 1 Magnitude (dB),Channel 2 Magnitude (dB),Channel 2 Phase (*)
40000.00000000001,0.008636277287474476,-19.24833180232056,-95.86171635596935
40149.5095964705,0.00471674167701622,-19.16443117946275,-95.8865904652983
40299.57802092693,-0.001070726912765605,-19.09729622622988,-95.95912416503566
40450.20736212294,0.00824524910039318,-19.0239204168671,-96.00611498356716
40601.39971661942,0.01043306929171239,-18.94589798610252,-96.01456140051792
40753.15718881365,0.0149747386247027,-18.87305131253238,-96.11262024689921
40905.48189096861,0.01396669193509387,-18.79022189334639,-96.18209246128498
41058.37594324237,0.0155765218982926,-18.7022520757588,-96.2460608780051
41211.84147371758,0.01358996456986145,-18.62762508717991,-96.30418738061951
41365.88061843113,0.01456521898430584,-18.54743533182561,-96.32961523438502
41520.49552140384,0.01464045390447829,-18.46798999291244,-96.41832673558474
41675.68833467035,0.0149024815124236,-18.389867058104,-96.43182680329687
41831.46121830903,0.01572038802302992,-18.30229618925987,-96.52357790539017
41987.81634047205,0.01700321426558251,-18.21512988211647,-96.54166766886809
42144.75587741559,0.01460633336229921,-18.1309602359723,-96.64417668555633
42302.28201353009,0.01449658120015157,-18.04888859083323,-96.70671396116019
42460.3969413707,0.01310766109915179,-17.96377993248033,-96.75617149820556
42619.10286168774,0.008139015200229523,-17.8720022328524,-96.85341432767257
42778.40198345739,0.005301575375149737,-17.78724350899891,-96.87841903374563
42938.29652391238,0.009754198709094384,-17.70516160467776,-96.94965112730635
43098.7887085729,0.01697569750918196,-17.62167345925414,-97.0060135683573
43259.88077127756,0.01703525841359793,-17.52578149747283,-97.10265320146173
43421.57495421446,0.01584003778960637,-17.44307646339021,-97.15644047204498
43583.87350795241,0.01662374296828065,-17.344248717283,-97.21323876978241
43746.7786914723,0.01830156477474481,-17.2533920332465,-97.27357720364634
43910.29277219846,0.0169542330310228,-17.16100686748658,-97.36445797738293
44074.41802603028,0.0179927563705063,-17.06406047073464,-97.45790464861197
44239.15673737389,0.01859554670443788,-16.96841686375154,-97.52274615546668
44404.51119917389,0.0207524256836963,-16.88395764156799,-97.59629422220121
44570.48371294535,0.01812409574529393,-16.78098056522807,-97.69491197400578
44737.07658880579,0.01804860351033968,-16.69247895106167,-97.78069510966129
44904.29214550735,0.01309803079982652,-16.59454439776109,-97.87630757106081
45072.13271046906,0.008054206276725108,-16.49501904929938,-97.93594244071683
45240.60061980924,0.006369435229426188,-16.39148959821745,-98.03172606636636
45409.69821837801,0.01313423732622985,-16.29266618625484,-98.1253125450578
45579.42785978994,0.01642720612272592,-16.18783276997948,-98.21554088424274
45749.79190645678,0.02053019930042163,-16.0917062148498,-98.32542974904845
45920.79272962037,0.02108465200834286,-15.98548712069938,-98.42597299577172
46092.43270938566,0.01721581371832621,-15.87925806343391,-98.52957507275437
46264.71423475374,0.01942090993054051,-15.77021196090881,-98.62084487853372
46437.63970365527,0.01864720766603848,-15.66111589855045,-98.73449453449234
46611.21152298368,0.01943697099813891,-15.55951765742501,-98.85537039912788
46785.43210862875,0.02176402092133406,-15.45011130897234,-98.9429260784115
46960.30388551022,0.02086404935370013,-15.33734915124644,-99.10930513284103
47135.8292876116,0.01759483172450355,-15.22612241214646,-99.20140694131811
47312.01075801394,0.01717978613116618,-15.11257085582879,-99.32529551281345
47488.85074892989,0.0125305716224669,-15.00096779407965,-99.44566618280733
47666.35172173791,0.008296802088900436,-14.87837211414608,-99.53329754735233
47844.51614701636,0.01468423876542856,-14.76297892354573,-99.67437207472759
48023.34650457803,0.0210741505974941,-14.64322501891326,-99.81230245294503
48202.8452835046,0.02195021224925445,-14.52123678630613,-99.96202031395951
48383.01498218127,0.02134233275447101,-14.40102341839531,-100.1265732313356
48563.85810833158,0.02208569224132423,-14.27968278231111,-100.2422874941049
48745.37717905226,0.02222279358373858,-14.14937875121587,-100.3853361650729
48927.57472084833,0.02335985015248336,-14.02632612719895,-100.5323159709276
49110.45326966819,0.0215817644593992,-13.89455606088266,-100.6772726470823
49294.01537093898,0.02065351423775471,-13.76473089404232,-100.8764823967531
49478.26357960198,0.02273397762044612,-13.63510530702043,-101.0400465099235
49663.20046014816,0.02235650263310223,-13.50108121276087,-101.1923336055062
49848.82858665393,0.02090029840820649,-13.36306233349128,-101.38676414048
50035.15054281687,0.01713016357156518,-13.22743870981136,-101.5926663349999
50222.16892199181,0.01008467365304041,-13.08797681749555,-101.7664637830345
50409.88632722681,0.01077898189730437,-12.94610251259229,-101.9668948823775
50598.30537129951,0.01673438888273104,-12.80031304357706,-102.1482364127706
50787.42867675336,0.02046265764412877,-12.65023986269306,-102.3649892131409
50977.25887593426,0.0227381862316588,-12.50725765202302,-102.5319960620316
51167.79861102709,0.02381265371081481,-12.35228173950634,-102.8084383421399
51359.05053409256,0.02324707383156447,-12.19905112033387,-103.0348950386761
51551.01730710407,0.02301598186462489,-12.04634373226862,-103.264233472493
51743.70160198479,0.02279058404917829,-11.88837478806587,-103.5327821917487
51937.10610064487,0.02266582418870079,-11.72641054758225,-103.7898214711468
52131.2334950187,0.02395326211833118,-11.56675214049554,-104.0586399092978
52326.08648710244,0.02358980554794997,-11.39526383181844,-104.3564411138465
52521.66778899162,0.02431373281655672,-11.22606206807079,-104.6034221414263
52717.98012291888,0.02331044021164481,-11.05710104127196,-104.9275202140807
52915.02622129182,0.02338886635091331,-10.88038809870041,-105.2404692318291
53112.8088267311,0.01979978060709733,-10.70322491606561,-105.5816502885452
53311.33069210859,0.01421100954117608,-10.5197932267,-105.9137252309099
53510.59458058565,0.01325409329116662,-10.32792756784248,-106.2471340818515
53710.60326565165,0.02064546112753359,-10.1415189700731,-106.6063772527802
53911.35953116252,0.02459771367812142,-9.956594207170468,-107.0231872994756
54112.86617137954,0.0269732181901679,-9.754511787124564,-107.415921496493
54315.12599100816,0.02623721772132261,-9.55469198739347,-107.8282114210079
54518.14180523717,0.02694735889421135,-9.349580089909423,-108.3069957277093
54721.91643977774,0.02555194778758708,-9.140005561972689,-108.7526978846012
54926.45273090283,0.02363537234176438,-8.927596808955467,-109.2310196934279
55131.75352548667,0.0254507083375663,-8.714098669530113,-109.716686228842
55337.82168104434,0.0276252901369536,-8.494062834251149,-110.2431550993937
55544.66006577158,0.02745223600772217,-8.266514463252875,-110.8434378254779
55752.2715585847,0.02768847224195006,-8.03510393962333,-111.4438862748675
55960.65904916064,0.02499387175229691,-7.796413641470453,-112.0590879852853
56169.82543797723,0.02267002570106719,-7.552814813323058,-112.7409113825743
56379.7736363535,0.01482458287124956,-7.303120895029849,-113.4378753760957
56590.50656649024,0.01731268642274321,-7.048286923561874,-114.169294658824
56802.02716151067,0.02389038410742946,-6.789247069272339,-114.9840246124818
57014.33836550126,0.0268617114327649,-6.519923422912061,-115.8267250315662
57227.44313355273,0.02893913810745207,-6.246609699965001,-116.7236466623157
57441.34443180114,0.02995184978478602,-5.968855116068461,-117.6744320918356
57656.04523746918,0.03004389856016693,-5.682538908174734,-118.7036280254027
57871.54853890766,0.02929268334420433,-5.391153652944255,-119.7918119088646
58087.85733563704,0.02907277179756826,-5.090434230685535,-120.9492680221609
58304.97463838923,0.02939345051779654,-4.783532099816009,-122.2021478437878
58522.90346914944,0.03008508110198824,-4.474845035589523,-123.5525830293685
58741.6468611983,0.02980901454384552,-4.153937906847172,-125.0017829332593
58961.20785915406,0.02816360875467158,-3.830576710628089,-126.5544558495482
59181.58951901495,0.02507146483890992,-3.501075931084683,-128.2393131459656
59402.79490820173,0.01980409814360916,-3.169565956700888,-130.0388074666857
59624.82710560037,0.01902689711978362,-2.831682525692018,-132.0066642817958
59847.68920160491,0.02611097521987328,-2.490756633178075,-134.1179887629214
60071.3842981605,0.03005662495970362,-2.152286779880974,-136.4068552160408
60295.91550880657,0.0320454772480058,-1.815244042586452,-138.868011884997
60521.2859587201,0.03189742819893707,-1.479645790132636,-141.5302199982577
60747.49878475921,0.03188044137154863,-1.155982617249052,-144.408106859972
60974.55713550674,0.03154899940273947,-0.8422510390519905,-147.4960186419312
61202.46417131418,0.0319296278681483,-0.5463423254200819,-150.8188778904027
61431.22306434552,0.03160401115253466,-0.2711923010978067,-154.3696259087008
61660.83699862152,0.03178942363090111,-0.02390251709613506,-158.146383463186
61891.30917006395,0.03354011142352981,0.1876576092811745,-162.1044175302125
62122.64278654013,0.03041277482489798,0.362098348194417,-166.2617180610343
62354.84106790755,0.0256656536157152,0.4918867989203849,-170.5644665482527
62587.90724605868,0.01841781432093339,0.5744424827187269,-174.9672803204428
62821.84456496597,0.02689763609871921,0.6017358392412352,-179.4398671877074
63056.65628072699,0.03192871992596606,0.5793438759327221,176.0998402373679
63292.34566160976,0.03359178917649489,0.5018750170655151,171.6878197262392
63528.91598809823,0.03395447077239399,0.3771291879733543,167.3759698004843
63766.37055293796,0.03493207221338272,0.2070202367234278,163.2187671136126
64004.71266118192,0.03360335200162686,-0.003184001639519452,159.2172820475709
64243.94563023651,0.03268173288045649,-0.2475873257355452,155.4263680562254
64484.07278990775,0.03545980005605414,-0.5195357824361023,151.8905947174517
64725.09748244759,0.03488187506414844,-0.8142531300134117,148.5348837365522
64967.02306260046,0.03421671669080981,-1.125196044056369,145.42003075614
65209.85289764994,0.03410860531813201,-1.448966338059736,142.5266383826326
65453.59036746565,0.03605341280214635,-1.7799074436101,139.8544976737595
65698.23886455029,0.03615209036645473,-2.118364545035477,137.3625104129355
65943.80179408683,0.03715712501425882,-2.457784993638294,135.0631300639591
66190.28257398595,0.03519304022133728,-2.795740226301024,132.9377898232039
66437.68463493358,0.03299002487856334,-3.132277929136702,130.9719530841962
66686.01142043866,0.03227729645499984,-3.464917548594825,129.1440005771185
66935.26638688109,0.02663407180136344,-3.793344116208069,127.4678373001615
67185.4530035598,0.02308099303458046,-4.118416826913869,125.8922730231778
67436.57475274106,0.03004015695604812,-4.43727621918804,124.44885285076
67688.63512970693,0.03410626415311585,-4.749591767859775,123.1026883630755
67941.63764280398,0.03616497958109718,-5.055910987252986,121.8311386774517
68195.585813492,0.03605745173192555,-5.349902207825004,120.6640446329888
68450.48317639311,0.03823789033948771,-5.645073377281721,119.5688582214073
68706.33327934095,0.03791862522445918,-5.932415947113379,118.55194754347
68963.13968343001,0.03754057872797377,-6.211071653142371,117.5732937190153
69220.90596306522,0.03839511845412991,-6.485110674435795,116.6652598578561
69479.63570601173,0.03854407529498294,-6.749920358179269,115.8262561754742
69739.33251344482,0.03900988242274225,-7.012699815608471,115.0147887856809
70000,0.03813165251014691,-7.264479340071873,114.2725201549681
